name,description,duration,minP,maxP
Harmonies,"Coloca fichas de colores para formar paisajes y ubica animales según su hábitat ideal. Puzle abstracto, relajado y muy vistoso.",45,1,4
Root,"Guerra asimétrica por el bosque: cada facción juega con reglas totalmente distintas. Profundo y con mucha interacción.",90,2,4
Draftosaurus,"Draft de dados-dinosaurio para armar el zoológico más ordenado. Rápido, simple y familiar.",15,2,5
Forbidden Desert,"Cooperativo: sobrevivan a la tormenta y recuperen las piezas de una máquina voladora antes de deshidratarse.",45,2,5
Ticket to Ride,"Reclama rutas de tren conectando ciudades para completar tus boletos secretos. Clásico accesible para todos.",60,2,5
Tuareg,"Duelo comercial en el desierto: juega cartas para controlar mercados y caravanas. Solo para dos.",30,2,2
Next Station: London,"Flip-and-write: traza líneas de metro conectando estaciones sin cruzarte. Ágil e ingenioso.",25,1,4
Next Station: Tokio,"La secuela japonesa, con nuevas reglas de trazado de metro. Igual de rápido y adictivo.",25,1,4
Patchwork,"Duelo de retazos: encaja piezas tipo Tetris para armar el mejor edredón. Táctico y para dos.",30,2,2
Coffee Rush,"Cumple pedidos de café combinando granos y recursos a contrarreloj. Ágil y temático.",30,1,4
7 Wonders: Duel,"Versión para dos de 7 Wonders: drafteá cartas y busca la victoria militar, científica o civil.",30,2,2
Magic Maze,"Cooperativo en tiempo real y en silencio: muevan a los héroes por el centro comercial antes de que se acabe el tiempo.",15,1,8
Wingspan,"Motor de cartas de aves: atrae pájaros a tus hábitats para desatar combos. Bello y estratégico.",60,1,5
Bora Bora,"Juego de dados de Stefan Feld: coloca dados para pescar, construir y poblar islas. Denso y estratégico.",120,2,4
Puerto Rico,"Elige roles para producir y vender mercancías en la colonia. Clásico eurogame de gestión.",120,3,5
Canvas,"Superpone cartas transparentes para «pintar» cuadros y sumar puntos por sus elementos. Artístico y accesible.",30,1,5
Alchemists,"Deducción con app: experimenta para descubrir qué ingredientes forman cada poción. Cerebral y exigente.",120,2,4
Carcassonne,"Coloca losetas para armar ciudades, caminos y campos. Fácil de aprender, tenso al final.",35,2,5
Azul: Queen's Garden,"Versión más pesada de Azul: drafteá fichas para componer un jardín real. Mayor profundidad táctica.",60,2,4
The White Castle,"Coloca dados por puentes para desplegar tu clan en el castillo japonés. Euro compacto pero profundo.",80,1,4
Under the Leaves,"Colección y memoria: observa y recolecta animales del bosque bajo las hojas. Suave y familiar.",30,1,4
Five Tribes,"Mueve meeples estilo mancala para controlar el sultanato y convocar djinns. Táctico y combero.",60,2,4
Potion Explosion,"Saca esferas del dispensador provocando reacciones en cadena para preparar pociones. Muy satisfactorio.",45,2,4
Smash Up,"Combina dos facciones locas (piratas, ninjas, zombis…) y choca contra los demás. Caótico y divertido.",45,2,4
Ligretto,"Carrera de cartas en tiempo real: deshazte de tus cartas por color y orden. Frenético.",10,2,4
Hanabi,"Cooperativo: arma los fuegos artificiales viendo las cartas de los demás pero no las tuyas. Pistas y memoria.",25,2,5
Trailblazers,"Conecta cartas de senderos por color para trazar rutas de senderismo y sumar puntos. Ligero y agradable.",30,1,5
Mascarade,"Bluff de roles ocultos: cada quien cree saber su personaje y usa su poder para robar monedas. Social y traicionero.",30,2,13
Paradice,"Toma dados de una máquina expendedora y colócalos para completar puestos según sus requisitos. Colección de sets con aire tropical.",30,2,4
Party Panda Pirates,"Pandas piratas compiten en minijuegos al estilo Mario Party: apuesta quién gana y busca tesoros. Festivo y variado.",45,2,6
Barrio,"Construye tu barrio ideal compartiendo los materiales del mercado común. Draft y colección, corto y elegante.",20,1,4
Cereal Killer,"Deducción de movimiento oculto: el asesino recorre la ciudad en secreto y el detective intenta atraparlo a tiempo. Tenso y rápido.",15,2,3
Oceanos de Papel,"Sea Salt & Paper: colecciona cartas de mar y decide cuándo plantarte para puntuar. Push-your-luck ágil y precioso.",35,2,4
Sound Box,"Cooperativo y disparatado: varios hacen sonidos raros a la vez y otro debe adivinarlos contra reloj. Puro caos acústico.",40,4,7

